Area Name,Year,Variable,Value
Rhode Island,2011,Violent Crimes Per 100,248
Virginia,2006,Violent Crimes Per 100,282
Wyoming,2007,Violent Crimes Per 100,239
Washington,1998,Violent Crimes Per 100,429
Virginia,1992,Crimes Per 100,4299
Virginia,1991,Crimes Per 100,4607
North Carolina,1998,Crimes Per 100,5322
New Jersey,2001,Crimes Per 100,3225
Ohio,1997,Crimes Per 100,4510
Georgia,2011,Crimes Per 100,4000
Louisiana,2006,Crimes Per 100,4691
South Carolina,1997,Crimes Per 100,6134
Missouri,2003,Property Crimes Per 100,4084
Rhode Island,2003,Property Crimes Per 100,2995
Mississippi,1997,Violent Crimes Per 100,469
District of Columbia,2011,Violent Crimes Per 100,1202
Kentucky,2001,Violent Crimes Per 100,257
Arkansas,2011,Violent Crimes Per 100,481
Louisiana,1990,Violent Crimes Per 100,898
Iowa,2013,Property Crimes Per 100,2194
Minnesota,2002,Property Crimes Per 100,3264
Louisiana,2010,Property Crimes Per 100,3648
New Jersey,1990,Crimes Per 100,5447
Nebraska,2006,Crimes Per 100,3622
Idaho,2014,Crimes Per 100,2067
Pennsylvania,1996,Crimes Per 100,3556
California,2004,Crimes Per 100,3971
Mississippi,1999,Property Crimes Per 100,3921
Idaho,2006,Property Crimes Per 100,2418
District of Columbia,2005,Property Crimes Per 100,4747
Washington,2013,Property Crimes Per 100,3710
Vermont,2011,Property Crimes Per 100,2309
Rhode Island,2010,Property Crimes Per 100,2557
North Dakota,2008,Violent Crimes Per 100,167
Indiana,2013,Violent Crimes Per 100,350
Michigan,2009,Violent Crimes Per 100,497
New Hampshire,2016,Property Crimes Per 100,1513
Tennessee,1996,Property Crimes Per 100,4675
South Dakota,1992,Violent Crimes Per 100,195
Indiana,1997,Violent Crimes Per 100,515
Arizona,1993,Violent Crimes Per 100,715
Arizona,2007,Property Crimes Per 100,4414
North Dakota,2013,Property Crimes Per 100,2094
Virginia,2009,Property Crimes Per 100,2429
West Virginia,2004,Property Crimes Per 100,2506
Oklahoma,2008,Property Crimes Per 100,3442
Mississippi,2016,Property Crimes Per 100,2768
Oregon,1997,Property Crimes Per 100,5825
Maine,1997,Crimes Per 100,3132
Delaware,2001,Crimes Per 100,4053
Connecticut,1991,Crimes Per 100,5364
Arizona,1996,Property Crimes Per 100,6436
Kentucky,1993,Crimes Per 100,3260
Iowa,1990,Crimes Per 100,4101
North Dakota,2016,Violent Crimes Per 100,251
Indiana,1994,Crimes Per 100,4593
Rhode Island,1993,Crimes Per 100,4499
Montana,1995,Crimes Per 100,4797
Idaho,2003,Crimes Per 100,3175
Louisiana,2007,Crimes Per 100,4806
Florida,2016,Property Crimes Per 100,2687
Iowa,2007,Property Crimes Per 100,2616
New Hampshire,2001,Crimes Per 100,2322
South Dakota,1991,Crimes Per 100,3079
Maine,2000,Crimes Per 100,2620
Oregon,1994,Crimes Per 100,6296
Nevada,2010,Violent Crimes Per 100,661
New Hampshire,2010,Violent Crimes Per 100,167
Tennessee,2003,Violent Crimes Per 100,691
Tennessee,1999,Violent Crimes Per 100,695
Indiana,2016,Violent Crimes Per 100,405
Oklahoma,1998,Violent Crimes Per 100,539
New Hampshire,2004,Violent Crimes Per 100,167
Maine,2015,Crimes Per 100,1960
Mississippi,2009,Crimes Per 100,3235
Wisconsin,2003,Violent Crimes Per 100,221
Wisconsin,1992,Violent Crimes Per 100,276
Utah,1996,Property Crimes Per 100,5654
Iowa,2005,Violent Crimes Per 100,291
Maine,1999,Violent Crimes Per 100,112
District of Columbia,1997,Violent Crimes Per 100,2024
New Hampshire,1996,Property Crimes Per 100,2705
North Carolina,1994,Property Crimes Per 100,4970
District of Columbia,2013,Property Crimes Per 100,4808
Louisiana,2002,Violent Crimes Per 100,663
Minnesota,1994,Property Crimes Per 100,3982
Indiana,1993,Property Crimes Per 100,3976
Alaska,2004,Property Crimes Per 100,3383
Delaware,2007,Violent Crimes Per 100,689
Colorado,2000,Violent Crimes Per 100,334
Tennessee,2003,Property Crimes Per 100,4389
Alabama,1993,Crimes Per 100,4879
Pennsylvania,2016,Violent Crimes Per 100,316
Idaho,2011,Crimes Per 100,2270
Pennsylvania,1999,Crimes Per 100,3114
Ohio,1996,Property Crimes Per 100,4027
New Jersey,1996,Property Crimes Per 100,3801
Nevada,2002,Violent Crimes Per 100,639
Massachusetts,2006,Violent Crimes Per 100,447
Hawaii,2016,Violent Crimes Per 100,309
New Hampshire,1998,Violent Crimes Per 100,107
Delaware,2014,Violent Crimes Per 100,489
New York,1995,Violent Crimes Per 100,842
Idaho,2004,Violent Crimes Per 100,245
Vermont,2016,Crimes Per 100,1856
West Virginia,2010,Crimes Per 100,2554
Virginia,2009,Crimes Per 100,2656
South Dakota,2013,Crimes Per 100,2213
Iowa,2015,Crimes Per 100,2333
Washington,2006,Property Crimes Per 100,4480
Virginia,2004,Property Crimes Per 100,2677
Massachusetts,2010,Property Crimes Per 100,2351
North Carolina,2009,Crimes Per 100,4072
Oklahoma,2005,Crimes Per 100,4551
Nevada,2009,Crimes Per 100,3758
Nevada,2014,Crimes Per 100,3261
Rhode Island,2005,Crimes Per 100,2970
Missouri,2011,Crimes Per 100,3756
Virginia,1996,Crimes Per 100,3968
Kentucky,2005,Crimes Per 100,2797
Louisiana,2002,Crimes Per 100,5098
Idaho,1994,Crimes Per 100,4077
Missouri,2004,Crimes Per 100,4394
Illinois,2011,Crimes Per 100,3118
Indiana,1993,Crimes Per 100,4465
Arkansas,2001,Crimes Per 100,4134
South Carolina,2006,Crimes Per 100,5007
New Mexico,1992,Violent Crimes Per 100,935
Kentucky,2003,Violent Crimes Per 100,249
Iowa,1990,Violent Crimes Per 100,300
California,1999,Violent Crimes Per 100,627
Rhode Island,2000,Property Crimes Per 100,3179
Indiana,2012,Property Crimes Per 100,3029
New York,2001,Property Crimes Per 100,2409
New Hampshire,1993,Property Crimes Per 100,2767
Idaho,2004,Property Crimes Per 100,2794
Hawaii,2004,Property Crimes Per 100,4793
Michigan,1993,Property Crimes Per 100,4661
Florida,2006,Violent Crimes Per 100,712
Idaho,1993,Violent Crimes Per 100,282
Hawaii,2006,Property Crimes Per 100,4230
Washington,2014,Property Crimes Per 100,3706
New Jersey,2009,Property Crimes Per 100,2080
Alabama,1991,Crimes Per 100,5366
Vermont,2013,Violent Crimes Per 100,115
Rhode Island,2005,Violent Crimes Per 100,251
New Mexico,2010,Violent Crimes Per 100,589
Florida,2003,Violent Crimes Per 100,731
Arkansas,2004,Violent Crimes Per 100,499
Utah,2010,Property Crimes Per 100,3180
Massachusetts,2014,Violent Crimes Per 100,391
Oklahoma,1994,Violent Crimes Per 100,652
Florida,1992,Property Crimes Per 100,7151
New York,2007,Property Crimes Per 100,1979
Oregon,1995,Property Crimes Per 100,6042
South Dakota,1990,Property Crimes Per 100,2747
Illinois,2011,Violent Crimes Per 100,429
Wisconsin,2011,Violent Crimes Per 100,237
Montana,2016,Violent Crimes Per 100,368
Oregon,1996,Violent Crimes Per 100,463
New Mexico,2000,Violent Crimes Per 100,758
Nebraska,2002,Violent Crimes Per 100,314
Massachusetts,1997,Violent Crimes Per 100,644
Maine,1998,Violent Crimes Per 100,126
Kansas,1990,Violent Crimes Per 100,448
Colorado,2012,Violent Crimes Per 100,309
Massachusetts,1998,Crimes Per 100,3436
Illinois,1999,Crimes Per 100,4515
Illinois,2013,Violent Crimes Per 100,373
Louisiana,2009,Violent Crimes Per 100,620
Kansas,2000,Violent Crimes Per 100,389
Idaho,2007,Crimes Per 100,2486
Hawaii,2010,Crimes Per 100,3577
Missouri,1991,Crimes Per 100,5416
New Jersey,2004,Crimes Per 100,2785
Massachusetts,2013,Crimes Per 100,2455
Wyoming,1997,Crimes Per 100,4181
South Dakota,1998,Crimes Per 100,2624
Oklahoma,1992,Crimes Per 100,5432
New Hampshire,2002,Crimes Per 100,2220
Massachusetts,2002,Crimes Per 100,3094
New Mexico,1998,Crimes Per 100,6719
Tennessee,2007,Crimes Per 100,4842
Kansas,2012,Crimes Per 100,3498
Nevada,2007,Crimes Per 100,4529
Virginia,1990,Property Crimes Per 100,4090
New Jersey,1992,Crimes Per 100,5064
Mississippi,2014,Property Crimes Per 100,2921
Illinois,2003,Property Crimes Per 100,3288
Alaska,1993,Property Crimes Per 100,4807
North Dakota,2002,Property Crimes Per 100,2329
Oregon,2001,Crimes Per 100,5044
Hawaii,1995,Crimes Per 100,7199
Alaska,1998,Crimes Per 100,4777
Maine,2011,Crimes Per 100,2669
Ohio,2000,Crimes Per 100,4042
Alaska,1992,Crimes Per 100,5570
Alabama,2012,Crimes Per 100,3952
Idaho,1998,Crimes Per 100,3715
Illinois,1991,Crimes Per 100,6132
Alabama,2000,Property Crimes Per 100,4060
Alabama,2001,Property Crimes Per 100,3881
Tennessee,1995,Crimes Per 100,5363
New Hampshire,2014,Crimes Per 100,2159
New Hampshire,2004,Crimes Per 100,2207
Texas,2013,Crimes Per 100,3658
North Dakota,2015,Crimes Per 100,2356
Missouri,2004,Property Crimes Per 100,3904
Nebraska,1997,Property Crimes Per 100,3845
Kansas,1996,Crimes Per 100,4682
Michigan,2009,Crimes Per 100,3335
Maryland,2012,Crimes Per 100,3231
Rhode Island,2000,Crimes Per 100,3476
North Carolina,2010,Property Crimes Per 100,3447
New Hampshire,2010,Crimes Per 100,2353
Nebraska,2012,Crimes Per 100,3014
Nebraska,2014,Crimes Per 100,2804
New Jersey,2012,Crimes Per 100,2337
Vermont,2012,Crimes Per 100,2542
Wyoming,2000,Crimes Per 100,3298
Wyoming,2009,Property Crimes Per 100,2637
Illinois,1992,Violent Crimes Per 100,977
Massachusetts,2002,Property Crimes Per 100,2612
Texas,1997,Violent Crimes Per 100,603
Wyoming,1996,Violent Crimes Per 100,250
Washington,1990,Violent Crimes Per 100,502
South Carolina,1997,Violent Crimes Per 100,990
Oklahoma,2007,Violent Crimes Per 100,500
New Mexico,2005,Violent Crimes Per 100,702
Wyoming,1995,Violent Crimes Per 100,254
Virginia,1998,Violent Crimes Per 100,326
New Jersey,2003,Violent Crimes Per 100,364
New Hampshire,2005,Violent Crimes Per 100,132
Maine,1992,Property Crimes Per 100,3393
Oregon,2003,Violent Crimes Per 100,295
South Carolina,2002,Property Crimes Per 100,4479
North Dakota,2006,Crimes Per 100,2128
Kentucky,1997,Crimes Per 100,3127
Georgia,1992,Crimes Per 100,6405
Georgia,1998,Crimes Per 100,5463
Hawaii,1997,Crimes Per 100,6023
Colorado,2011,Crimes Per 100,2927
Ohio,2015,Crimes Per 100,2880
North Carolina,2008,Crimes Per 100,4511
North Carolina,2013,Crimes Per 100,3465
Oregon,1996,Crimes Per 100,5997
Florida,2009,Property Crimes Per 100,3841
Delaware,2012,Property Crimes Per 100,3341
Georgia,2001,Property Crimes Per 100,4149
Michigan,1991,Property Crimes Per 100,5335
Kansas,1991,Property Crimes Per 100,5035
Illinois,1996,Property Crimes Per 100,4430
Alaska,2006,Crimes Per 100,4292
Maryland,1993,Crimes Per 100,6107
Florida,2002,Property Crimes Per 100,4656
California,2011,Property Crimes Per 100,2584
Maine,1997,Property Crimes Per 100,3011
Connecticut,2006,Crimes Per 100,2784
Washington,2013,Violent Crimes Per 100,278
Connecticut,1996,Crimes Per 100,4228
District of Columbia,2001,Crimes Per 100,7710
Georgia,2008,Crimes Per 100,4494
North Carolina,2016,Violent Crimes Per 100,372
Idaho,1994,Violent Crimes Per 100,286
Utah,2000,Crimes Per 100,4476
Idaho,1995,Crimes Per 100,4402
Georgia,2004,Crimes Per 100,4721
Hawaii,2005,Crimes Per 100,5048
North Dakota,1996,Crimes Per 100,2669
Kansas,2007,Crimes Per 100,4132
Oklahoma,2001,Violent Crimes Per 100,512
Ohio,2003,Violent Crimes Per 100,334
New Jersey,2014,Crimes Per 100,1995
New Jersey,2008,Violent Crimes Per 100,327
Ohio,2013,Crimes Per 100,3203
District of Columbia,1996,Violent Crimes Per 100,2470
North Dakota,2014,Property Crimes Per 100,2110
Minnesota,2003,Violent Crimes Per 100,263
North Carolina,1990,Violent Crimes Per 100,624
Georgia,1991,Property Crimes Per 100,5755
Delaware,1999,Property Crimes Per 100,4104
District of Columbia,1998,Property Crimes Per 100,7117
Connecticut,1997,Property Crimes Per 100,3593
North Carolina,2014,Property Crimes Per 100,2873
Montana,2013,Property Crimes Per 100,2557
Texas,2004,Property Crimes Per 100,4494
Maine,2016,Property Crimes Per 100,1646
Wyoming,1992,Property Crimes Per 100,4256
Mississippi,2006,Property Crimes Per 100,3208
Oregon,1993,Violent Crimes Per 100,503
Ohio,1995,Violent Crimes Per 100,483
Kentucky,2011,Violent Crimes Per 100,238
New Hampshire,1993,Violent Crimes Per 100,138
Tennessee,2007,Property Crimes Per 100,4089
South Dakota,1997,Violent Crimes Per 100,197
Wyoming,2008,Violent Crimes Per 100,232
Washington,2005,Violent Crimes Per 100,346
Missouri,2002,Property Crimes Per 100,4066
Maryland,1993,Violent Crimes Per 100,998
Indiana,2006,Crimes Per 100,3817
Georgia,2010,Crimes Per 100,4044
Connecticut,2004,Crimes Per 100,2914
North Carolina,1997,Violent Crimes Per 100,607
New Hampshire,2002,Violent Crimes Per 100,161
Nevada,1996,Violent Crimes Per 100,811
South Dakota,2002,Property Crimes Per 100,2103
New Jersey,1997,Property Crimes Per 100,3564
Hawaii,2010,Violent Crimes Per 100,263
Louisiana,2006,Violent Crimes Per 100,697
Missouri,1991,Violent Crimes Per 100,763
Louisiana,2004,Violent Crimes Per 100,639
New York,2002,Property Crimes Per 100,2311
Delaware,2015,Property Crimes Per 100,4676
Florida,2003,Property Crimes Per 100,4457
Alabama,1992,Property Crimes Per 100,4396
Maryland,1990,Violent Crimes Per 100,919
Colorado,2013,Violent Crimes Per 100,291
Hawaii,2000,Violent Crimes Per 100,244
Alaska,1990,Violent Crimes Per 100,525
Vermont,2012,Property Crimes Per 100,2399
Rhode Island,2010,Violent Crimes Per 100,257
Iowa,2014,Violent Crimes Per 100,274
Iowa,1994,Violent Crimes Per 100,315
Georgia,1990,Violent Crimes Per 100,756
California,2000,Violent Crimes Per 100,622
Connecticut,2014,Property Crimes Per 100,1920
Kansas,1996,Property Crimes Per 100,4268
District of Columbia,2002,Property Crimes Per 100,6409
Texas,1990,Property Crimes Per 100,7065
Vermont,2008,Crimes Per 100,2674
South Dakota,2016,Property Crimes Per 100,1981
Virginia,2012,Crimes Per 100,2352
South Carolina,1995,Crimes Per 100,6064
Iowa,2013,Crimes Per 100,2455
Kansas,2013,Crimes Per 100,3274
Pennsylvania,2003,Crimes Per 100,2828
New Hampshire,1990,Crimes Per 100,3645
Maryland,2007,Crimes Per 100,4074
Oklahoma,1992,Property Crimes Per 100,4809
New Jersey,1992,Property Crimes Per 100,4439
Oklahoma,1998,Crimes Per 100,5004
Oklahoma,1991,Crimes Per 100,5669
New Mexico,2004,Crimes Per 100,4885
Oregon,1991,Crimes Per 100,5755
Ohio,1996,Crimes Per 100,4456
New Hampshire,1999,Crimes Per 100,2282
District of Columbia,2016,Crimes Per 100,6009
Indiana,2003,Crimes Per 100,3708
Mississippi,2004,Property Crimes Per 100,3479
New Jersey,2002,Crimes Per 100,3024
Montana,2003,Crimes Per 100,3461
Iowa,2010,Crimes Per 100,2516
Hawaii,2012,Crimes Per 100,3314
Colorado,2016,Crimes Per 100,3083
Kentucky,2011,Crimes Per 100,2947
Louisiana,1998,Property Crimes Per 100,5319
Kentucky,1993,Property Crimes Per 100,2797
Indiana,1990,Property Crimes Per 100,4209
Virginia,2012,Property Crimes Per 100,2162
Connecticut,1992,Crimes Per 100,5053
Texas,2010,Violent Crimes Per 100,450
Oklahoma,2010,Violent Crimes Per 100,480
Delaware,2005,Violent Crimes Per 100,632
Delaware,1993,Violent Crimes Per 100,686
Utah,2005,Violent Crimes Per 100,227
Minnesota,2014,Violent Crimes Per 100,229
Utah,2002,Violent Crimes Per 100,237
Ohio,2007,Property Crimes Per 100,3455
New York,2011,Property Crimes Per 100,1912
North Dakota,2004,Property Crimes Per 100,1917
New Jersey,1998,Property Crimes Per 100,3214
Texas,2001,Violent Crimes Per 100,573
Tennessee,1998,Crimes Per 100,5034
Montana,2005,Violent Crimes Per 100,282
Kansas,1999,Crimes Per 100,4439
Louisiana,1990,Crimes Per 100,6487
Alaska,2003,Crimes Per 100,4360
Indiana,1992,Crimes Per 100,4687
California,1994,Crimes Per 100,6174
Alabama,1999,Crimes Per 100,4413
Connecticut,2008,Property Crimes Per 100,2459
New York,2001,Violent Crimes Per 100,516
Missouri,2009,Property Crimes Per 100,3385
North Dakota,1992,Property Crimes Per 100,2820
Georgia,2006,Property Crimes Per 100,3889
Kentucky,2004,Property Crimes Per 100,2538
Iowa,1997,Property Crimes Per 100,3506
District of Columbia,2004,Property Crimes Per 100,4859
New Hampshire,2015,Violent Crimes Per 100,199
Oregon,1998,Violent Crimes Per 100,420
Idaho,2013,Violent Crimes Per 100,205
Louisiana,2012,Violent Crimes Per 100,497
Nebraska,1997,Violent Crimes Per 100,438
Ohio,1999,Violent Crimes Per 100,316
Maine,1991,Violent Crimes Per 100,132
North Carolina,2005,Crimes Per 100,4543
South Carolina,2014,Crimes Per 100,3958
Wisconsin,2016,Property Crimes Per 100,1933
Washington,2005,Property Crimes Per 100,4893
New Jersey,2011,Property Crimes Per 100,2151
New Hampshire,2008,Property Crimes Per 100,2092
Oklahoma,2010,Crimes Per 100,3895
Missouri,2016,Crimes Per 100,3319
North Carolina,2013,Property Crimes Per 100,3128
Ohio,2008,Property Crimes Per 100,3412
Vermont,1998,Property Crimes Per 100,3033
Ohio,2006,Property Crimes Per 100,3678
Illinois,1999,Property Crimes Per 100,3825
Hawaii,2002,Property Crimes Per 100,5801
District of Columbia,1994,Property Crimes Per 100,8423
Arizona,1991,Property Crimes Per 100,6735
Alabama,1997,Property Crimes Per 100,4325
Washington,1990,Property Crimes Per 100,5721
Oregon,1999,Property Crimes Per 100,4627
Massachusetts,2009,Property Crimes Per 100,2304
Rhode Island,1993,Property Crimes Per 100,4097
Alabama,1997,Violent Crimes Per 100,565
Hawaii,2011,Property Crimes Per 100,3338
Arkansas,2008,Crimes Per 100,4339
Illinois,2008,Violent Crimes Per 100,525
Alabama,1995,Property Crimes Per 100,4216
Michigan,1994,Crimes Per 100,5445
District of Columbia,1998,Crimes Per 100,8836
California,1996,Crimes Per 100,5208
Oklahoma,2013,Violent Crimes Per 100,428
South Carolina,2010,Violent Crimes Per 100,598
Missouri,1994,Crimes Per 100,5308
Idaho,1997,Crimes Per 100,3925
Arkansas,2006,Crimes Per 100,4519
Florida,1990,Crimes Per 100,8811
Arizona,2011,Violent Crimes Per 100,406
Idaho,1997,Violent Crimes Per 100,257
Arizona,2000,Violent Crimes Per 100,532
California,1993,Violent Crimes Per 100,1078
Missouri,1995,Property Crimes Per 100,4457
Hawaii,2001,Property Crimes Per 100,5132
South Carolina,2015,Property Crimes Per 100,3293
Montana,2011,Property Crimes Per 100,2320
New Hampshire,2009,Property Crimes Per 100,2161
Iowa,2001,Property Crimes Per 100,3032
Hawaii,1997,Property Crimes Per 100,5745
Alaska,1994,Property Crimes Per 100,4942
Mississippi,2010,Property Crimes Per 100,2985
Ohio,2002,Property Crimes Per 100,3760
Virginia,1991,Property Crimes Per 100,4234
Delaware,1994,Violent Crimes Per 100,561
District of Columbia,1991,Violent Crimes Per 100,2453
Indiana,2008,Violent Crimes Per 100,334
Colorado,2009,Property Crimes Per 100,2666
Rhode Island,2002,Property Crimes Per 100,3308
Texas,2002,Property Crimes Per 100,4620
Washington,1994,Property Crimes Per 100,5516
Texas,1997,Property Crimes Per 100,4878
Virginia,1996,Property Crimes Per 100,3627
Vermont,1990,Property Crimes Per 100,4214
District of Columbia,2014,Violent Crimes Per 100,1244
Maryland,2000,Violent Crimes Per 100,787
Montana,1998,Property Crimes Per 100,4155
Georgia,2012,Property Crimes Per 100,3411
Nevada,1994,Property Crimes Per 100,5676
Pennsylvania,1994,Violent Crimes Per 100,427
Maine,2004,Violent Crimes Per 100,104
Delaware,2016,Violent Crimes Per 100,509
Iowa,2006,Violent Crimes Per 100,283
Iowa,1997,Violent Crimes Per 100,310
New Mexico,1993,Crimes Per 100,6266
Kansas,1993,Crimes Per 100,4975
Louisiana,2007,Violent Crimes Per 100,730
Iowa,2003,Violent Crimes Per 100,278
Utah,2009,Crimes Per 100,3488
Tennessee,1999,Crimes Per 100,4694
Maine,2014,Crimes Per 100,2114
New Jersey,2016,Crimes Per 100,1790
Missouri,2014,Crimes Per 100,3349
Tennessee,2015,Property Crimes Per 100,2936
Wisconsin,2013,Property Crimes Per 100,2189
Washington,2001,Property Crimes Per 100,4797
Oklahoma,2006,Property Crimes Per 100,3604
Vermont,1991,Property Crimes Per 100,3838
Pennsylvania,2014,Crimes Per 100,2246
South Dakota,1999,Crimes Per 100,2644
West Virginia,2000,Crimes Per 100,2603
Colorado,2012,Property Crimes Per 100,2685
District of Columbia,1999,Property Crimes Per 100,6439
Arizona,2012,Violent Crimes Per 100,429
California,1996,Violent Crimes Per 100,863
Alaska,2000,Violent Crimes Per 100,567
Kansas,1992,Property Crimes Per 100,4809
South Carolina,2012,Violent Crimes Per 100,559
West Virginia,2005,Violent Crimes Per 100,273
Montana,2011,Violent Crimes Per 100,268
Louisiana,2005,Crimes Per 100,4278
Delaware,1995,Property Crimes Per 100,4434
Illinois,1993,Crimes Per 100,5618
Alabama,2016,Crimes Per 100,3480
Delaware,2004,Crimes Per 100,3732
North Dakota,2013,Violent Crimes Per 100,256
Montana,2014,Violent Crimes Per 100,324
Texas,2004,Violent Crimes Per 100,541
South Dakota,2006,Violent Crimes Per 100,171
New Jersey,2005,Violent Crimes Per 100,355
Idaho,2015,Crimes Per 100,1960
Rhode Island,1991,Crimes Per 100,5039
West Virginia,1994,Violent Crimes Per 100,216
Utah,1996,Crimes Per 100,5986
South Dakota,1995,Crimes Per 100,3061
Montana,1992,Crimes Per 100,4596
Nebraska,2001,Crimes Per 100,4330
Minnesota,1991,Crimes Per 100,4496
North Dakota,1996,Property Crimes Per 100,2585
New Mexico,1995,Property Crimes Per 100,5609
West Virginia,1990,Property Crimes Per 100,2334
West Virginia,1994,Property Crimes Per 100,2313
Michigan,2013,Property Crimes Per 100,2328
Virginia,1997,Property Crimes Per 100,3531
New Mexico,2003,Property Crimes Per 100,4089
Idaho,2008,Property Crimes Per 100,2101
Oklahoma,1996,Crimes Per 100,5653
Idaho,2010,Crimes Per 100,2217
Mississippi,1994,Crimes Per 100,4837
Louisiana,2003,Crimes Per 100,4948
Nevada,1999,Crimes Per 100,4653
Montana,1998,Crimes Per 100,4359
Mississippi,2000,Crimes Per 100,4004
Louisiana,2004,Crimes Per 100,5049
Maryland,1996,Crimes Per 100,6062
Massachusetts,1990,Crimes Per 100,5298
Kentucky,1999,Crimes Per 100,2953
Tennessee,2012,Violent Crimes Per 100,644
New Hampshire,1995,Property Crimes Per 100,2541
Massachusetts,1998,Property Crimes Per 100,2815
Iowa,2012,Violent Crimes Per 100,264
Michigan,2010,Violent Crimes Per 100,490
Hawaii,2004,Violent Crimes Per 100,254
California,2003,Violent Crimes Per 100,580
Alaska,2006,Violent Crimes Per 100,688
Tennessee,1992,Violent Crimes Per 100,746
North Carolina,2001,Violent Crimes Per 100,494
Nevada,2003,Violent Crimes Per 100,616
Alaska,1991,Property Crimes Per 100,5088
Tennessee,2009,Property Crimes Per 100,3754
Virginia,1997,Violent Crimes Per 100,345
Virginia,1992,Violent Crimes Per 100,375
Delaware,2012,Violent Crimes Per 100,547
Minnesota,2000,Property Crimes Per 100,3208
Maine,2001,Property Crimes Per 100,2577
Illinois,1994,Property Crimes Per 100,4665
West Virginia,2012,Property Crimes Per 100,2365
New Hampshire,2013,Property Crimes Per 100,2194
Georgia,1993,Property Crimes Per 100,5470
Georgia,1992,Property Crimes Per 100,5672
Connecticut,1994,Property Crimes Per 100,4093
Alabama,2012,Property Crimes Per 100,3502
Texas,1995,Property Crimes Per 100,5021
Iowa,1998,Crimes Per 100,3501
Louisiana,1993,Crimes Per 100,6847
Connecticut,2013,Property Crimes Per 100,1974
Louisiana,1990,Property Crimes Per 100,5588
Florida,1995,Property Crimes Per 100,6631
Alabama,1993,Property Crimes Per 100,4098
Delaware,1997,Crimes Per 100,5783
Alabama,2004,Crimes Per 100,4452
Wyoming,2010,Violent Crimes Per 100,196
Georgia,1991,Crimes Per 100,6493
North Carolina,1997,Crimes Per 100,5492
Montana,2007,Crimes Per 100,3053
New York,2008,Crimes Per 100,2392
